keyword,search_volume,cpc,competition,num_competitors,best_position,word_count,domains
"how many pages 2000 words",9900,0.00,0.0000,1,7,5,"hookagency.com"
"how many pages are 2000 words",9900,0.00,0.0000,1,5,6,"hookagency.com"
"how many pages for 2000 words",9900,0.00,0.0000,1,5,6,"hookagency.com"
"how many pages is 2000 words",9900,0.00,0.0000,1,6,6,"hookagency.com"
"how many pages is 2000 words typed",9900,0.00,0.0000,1,5,7,"hookagency.com"
"how many typed pages is 2000 words",9900,0.00,0.0000,1,8,7,"hookagency.com"
"how to delete reviews on google",9900,11.80,0.2300,1,56,6,"hookagency.com"
"how to erase google review",9900,11.80,0.2300,1,71,5,"hookagency.com"
"i k o shingles",9900,1.38,0.3800,1,39,4,"hookagency.com"
"iko roof shingles",9900,1.38,0.3800,1,46,3,"hookagency.com"
"iko shingles",9900,1.38,0.3800,1,10,2,"hookagency.com"
"iko shingles roof",9900,1.38,0.3800,1,60,3,"hookagency.com"
"services web page design",9900,22.00,0.0700,1,47,4,"hookagency.com"
"services website design",9900,22.00,0.0700,1,74,3,"hookagency.com"
"set up a google alert",9900,3.26,0.0000,1,35,5,"hookagency.com"
"set up alerts on google",9900,3.26,0.0000,1,23,5,"hookagency.com"
"set up google alert",9900,3.26,0.0000,1,30,4,"hookagency.com"
"set up google alerts",9900,3.26,0.0000,1,39,4,"hookagency.com"
"setting up a google alert",9900,3.26,0.0000,1,28,5,"hookagency.com"
"setting up alerts in google",9900,3.26,0.0000,1,45,5,"hookagency.com"
"setting up google alerts",9900,3.26,0.0000,1,28,4,"hookagency.com"
"setup google alert",9900,3.26,0.0000,1,26,3,"hookagency.com"
"thousand words a",9900,0.00,0.0000,1,36,3,"hookagency.com"
"google local service",9900,5.25,0.2900,2,20,3,"relentless-digital.com|1seo.com"
"impulse buying",9900,8.60,0.0000,1,73,2,"1seo.com"
"local seo services",9900,23.13,0.0700,1,16,3,"1seo.com"
"local services by google",9900,5.25,0.2900,2,19,4,"relentless-digital.com|1seo.com"
"google local services",9900,5.25,0.2900,1,20,3,"relentless-digital.com"
"cms content management system definition",9900,41.54,0.0200,1,78,5,"bird.marketing"
"definition of cta",9900,0.00,0.0000,1,12,3,"bird.marketing"
"brand identity design services",8100,20.73,0.0400,1,52,4,"kickcharge.com"
"electrician electrical tools",8100,0.61,1.0000,1,80,3,"scorpion.co"
"how can i make a business facebook page",8100,5.85,0.5000,1,6,8,"scorpion.co"
